"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database"
"2017","KFC","1200 N Broad St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","20 to 49","Branch","42"
"2017","Kidazzle Kids","1930 W Susquehanna Ave","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","11"
"2017","Kids First Daycare Ctr","2200 Ridge Ave","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","19"
"2017","Kids R Special Clubhouse Inc","2100 Bolton St","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","15"
"2017","King Center","2101 Cecil B Moore Ave","19121","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","10 to 19","Single Loc","34"
"2017","King Dragon II","2349 W Oxford St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","17"
"2017","Kirbi Construction","1955 N 18th St","19121","Verified","152144","Construction Companies","23611512","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","10"
"2017","Koja Grille","1600 N Broad St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","19"
"2017","Krispy Krunchy Chicken","1701 N 33rd St","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Branch","11"
"2017","Kurt Hunte","1608 N 21st St","19121","Verified","733604","Artists-Commercial","54143002","Graphic Design Services","1 to 4","Single Loc","11"
"2017","L & K Food Market","2163 N 21st St","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","20"
"2017","Lamarra Frank R Inc","1616 W Thompson St","19121","Verified","154213","Building Contractors","23622005","Commercial And Institutional Building Construction","1 to 4","Single Loc","24"
"2017","Lanchang Sheng","2006 Ridge Ave","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","21"
"2017","Lee Korman Discount Inc","2163 Ridge Ave","19121","Verified","531104","Retail Shops","45511003","Department Stores","1 to 4","Single Loc","24"
"2017","Lee Young Food Market","1422 Cecil B Moore Ave","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","5 to 9","Single Loc","42"
"2017","Lee's Food Market","1615 W Montgomery Ave","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","31"
"2017","Lee, Cynthia","1528 N Broad St","19121","Verified","804939","Pharmacists","62133002","Offices Of Mental Health Practitioners (Except Phy","1 to 4","Single Loc","11"
"2017","Lees Hoagie Hse At Temple Univ","1428 Cecil B Moore Ave","19121","Verified","581219","","","","1 to 4","Single Loc","11"
"2017","Lescheuvux","2004 Ridge Ave","19121","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","14"
"2017","Let Out","1621 Cecil B Moore Ave","19121","Verified","581223","","","","5 to 9","Single Loc","11"
"2017","Liacorus Center","1776 N Broad St","19121","Verified","651211","Event Centers","71131005","Promoters Of Performing Arts, Sports, And Similar","1 to 4","Single Loc","11"
"2017","Lisa's Learning Ctr","2815 W Sedgley Ave","19121","Verified","835101","Child Care Service","62441003","Child Care Services","5 to 9","Single Loc","11"
"2017","Livewire Electric LLC","3217 Turner St","19121","Verified","173101","Electric Contractors","23821007","Electrical Contractors And Other Wiring Installati","1 to 4","Single Loc","15"
"2017","Locating Logistics LLC","1510 Cecil B Moore Ave # 301","19121","Verified","493903","Utilities-Underground-Cable Locating Svc","23713022","Power And Communication Line And Related Structure","5 to 9","Single Loc","15"
"2017","Lock & Key Locksmith Svc","1752 N 26th St","19121","Verified","769962","Locks & Locksmiths","56162204","Locksmiths","5 to 9","Single Loc","12"
"2017","Lopsonzski 1844 N 16 St LP","1844 N 16th St","19121","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","11"
"2017","Lora Mini Market","1918 W Susquehanna Ave","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","41"
"2017","Lorenzo's","1301 N 25th St","19121","Verified","724101","Barbers","81211101","Barber Shops","1 to 4","Single Loc","26"
"2017","Lsw Hair Design","1539 W Thompson St","19121","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","28"
"2017","Lwc City","1531 N 31st St","19121","Verified","734904","Window Cleaning","23899096","All Other Specialty Trade Contractors","5 to 9","Single Loc","12"
"2017","M & T Foods","2905 Ridge Ave","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","14"
"2017","M L King Recreation Ctr","2100 Cecil B Moore Ave","19121","Verified","799701","Recreation Centers","71394015","Fitness And Recreational Sports Centers","5 to 9","Single Loc","28"
"2017","M M Partners LLC","1238 N 28th St","19121","Verified","653108","Real Estate Management","53121005","Offices Of Real Estate Agents And Brokers","1 to 4","Single Loc","14"
"2017","Madden, Ann M Pa","1845 N 23rd St","19121","Verified","804920","Physicians Assistants","62139932","Offices Of All Other Miscellaneous Health Practiti","1 to 4","Single Loc","11"
"2017","Magner, Alan L MD","1920 N 20th St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","13"
"2017","Mander Playground","2140 N 33rd St","19121","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","10 to 19","Single Loc","33"
"2017","Mansell, Jamie Lee","1800 N Broad St","19121","Verified","804918","Physical Therapists","62134007","Offices Of Physical, Occupational And Speech Thera","1 to 4","Single Loc","11"
"2017","Mansion Management Corp","3035 W Diamond St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","35"
"2017","Mansion Management Corp","3035 W Diamond St","19121","Verified","801101","Physicians & Surgeons","62111107","Offices Of Physicians (Except Mental Health Specia","1 to 4","Single Loc","15"
"2017","Maria Mini Market","2450 W Montgomery Ave","19121","Verified","541103","Convenience Stores","44513101","Convenience Retailers","1 to 4","Single Loc","13"
"2017","Martin Luther King Adult Ctr","2101 Cecil B Moore Ave # 35","19121","Verified","912104","Government Offices-City/Village & Twp","92112006","Legislative Bodies","10 to 19","Single Loc","25"
"2017","Martin Luther King Recreation","2101 Cecil B Moore Ave","19121","Verified","799951","Parks","71219004","Nature Parks And Other Similar Institutions","20 to 49","Single Loc","34"
"2017","Martinez Grocery","1752 N 20th St","19121","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","22"
"2017","Marvina Hudson Bolton Meml","2814 Cecil B Moore Ave","19121","Verified","726103","Funeral Directors","81221002","Funeral Homes And Funeral Services","1 to 4","Single Loc","14"
"2017","Masters Bar & Restaurant","1535 N Carlisle St # 37","19121","Verified","581208","Restaurants","72251117","Full-Service Restaurants","5 to 9","Single Loc","12"
"2017","Maternity Care Coalition","1510 Cecil B Moore Ave # B","19121","Verified","832215","Marriage & Family Counselors","62419011","Other Individual And Family Services","10 to 19","Single Loc","10"
"2017","Mayo, Sylvester","1223 N 29th St","19121","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","28"
"2017","Maze Group Development Inc","1810 N 16th St","19121","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","13"
"2017","Mc Coy's Tire Svc Ctr","2323 Ridge Ave","19121","Verified","753401","Tire-Retreading & Repairing","32621201","Tire Retreading","1 to 4","Single Loc","19"
"2017","Mc Coy, Lillian","1609 N Sydenham St","19121","Verified","866106","Clergy","81311009","Religious Organizations","1 to 4","Single Loc","42"
"2017","Meade Family Health Ctr","1600 N 18th St","19121","Verified","801104","Clinics","62111129","Offices Of Physicians (Except Mental Health Specia","5 to 9","Single Loc","32"
