"Version Year","Company Name","Address","ZIP Code","Record Type","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database"
"2012","Model Line","1501 N Broad St # 6","19122","Verified","723106","Beauty Salons","81211202","Beauty Salons","1 to 4","Single Loc","16"
"2012","Molletta Personal Care Home","639 Diamond St","19122","Verified","861102","Associations","81391002","Business Associations","1 to 4","Single Loc","31"
"2012","Mor Ale Inc","901 Diamond St","19122","Verified","581301","Bars","72241001","Drinking Places (Alcoholic Beverages)","1 to 4","Single Loc","16"
"2012","Morgan Chiropractic Health Cr","1501 N Broad St","19122","Verified","804101","Chiropractors DC","62131002","Offices Of Chiropractors","1 to 4","Single Loc","24"
"2012","Mota Grocery","1901 Waterloo St","19122","Verified","541105","Grocers-Retail","44511003","Supermarkets And Other Grocery Retailers (Except C","1 to 4","Single Loc","21"
"2012","Moving Help","1356 N American St","19122","Verified","421401","Movers","48411009","General Freight Trucking, Local","5 to 9","Single Loc","42"
"2012","Mt Sinai Holy Church-America","1469 N Broad St","19122","Verified","866106","Clergy","81311009","Religious Organizations","5 to 9","Single Loc","42"
"2012","My Philly Roofer Inc","2117 N American St","19122","Verified","176109","Roofing Contractors","23816014","Roofing Contractors","1 to 4","Single Loc","14"
"2012","National Caucus & Ctr On Black","1415 N Broad St # 221","19122","Verified","833106","Career & Vocational Counseling","62431002","Vocational Rehabilitation Services","10 to 19","Single Loc","20"
"2012","National Restoration & Fclty","1447 N American St","19122","Verified","152105","Home Improvements","23611816","Residential Remodelers","1 to 4","Single Loc","16"
"2012","Ncs Supply Inc","1603 N American St","19122","Verified","154213","Building Contractors","23622005","Commercial And Institutional Building Construction","1 to 4","Single Loc","17"
"2012","Neighborhood Meat Mkt","1915 N 6th St","19122","Verified","542107","Meat-Retail","44524006","Meat Retailers","10 to 19","Single Loc","23"
"2012","Net Youth Svc Firehouse","2005 N 2nd St","19122","Verified","832222","Youth Organizations & Centers","62411006","Child And Youth Services","20 to 49","Single Loc","20"
"2012","Newman Center Of Temple Univ","2129 N Broad St","19122","Verified","866110","Religious Organizations","81311021","Religious Organizations","1 to 4","Single Loc","42"
"2012","Nick's Auto Body","2129 N Marshall St","19122","Verified","753201","Automobile Body-Repairing & Painting","81112102","Automotive Body, Paint, And Interior Repair And Ma","1 to 4","Single Loc","17"
"2012","Nml Group","2024 N 2nd St","19122","Verified","511321","Decoration Supplies-Wholesale","42413012","Industrial And Personal Service Paper Merchant Who","5 to 9","Single Loc","17"
"2012","Norris Beer","408 W Norris St","19122","Verified","581209","","","","1 to 4","Single Loc","22"
"2012","Norris Square Childrens Ctr","2011 N Mascher St","19122","Verified","835101","Child Care Service","62441003","Child Care Services","50 to 99","Single Loc","25"
"2012","Norris Square Civic Assn","149 W Susquehanna Ave","19122","Verified","839998","Non-Profit Organizations","81331908","Other Social Advocacy Organizations","10 to 19","Single Loc","42"
"2012","Norris Square Civic Assn","2101 N Orkney St","19122","Verified","835101","Child Care Service","62441003","Child Care Services","10 to 19","Single Loc","15"
"2012","Norris Square Neighborhood","2141 N Howard St","19122","Verified","832218","Social Service & Welfare Organizations","62419012","Other Individual And Family Services","10 to 19","Single Loc","21"
"2012","Norris Square Notary & Svc","139 W Susquehanna Ave","19122","Verified","738979","Notaries-Public","54112001","Offices Of Notaries","1 to 4","Single Loc","26"
"2012","Norris Square Senior Housing","2121 N Howard St","19122","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","1 to 4","Single Loc","42"
"2012","North Central Victim Svc","1415 N Broad St # 222","19122","Verified","839998","Non-Profit Organizations","81331908","Other Social Advocacy Organizations","1 to 4","Single Loc","20"
"2012","North East Comm Mental Health","2152 N Front St","19122","Verified","806301","Mental Health Services","62221001","Psychiatric And Substance Abuse Hospitals","5 to 9","Single Loc","16"
"2012","North Philadelphia Financial","1501 N Broad St # 21","19122","Verified","869903","Organizations","81341018","Civic And Social Organizations","1 to 4","Single Loc","20"
"2012","North Philly Pharmacy","2127 N 6th St","19122","Verified","591205","Pharmacies","45611009","Pharmacies And Drug Retailers","10 to 19","Single Loc","15"
"2012","Northeast Treatment Ctr","2005 N 2nd St","19122","Verified","839901","Drug Abuse & Addiction Info & Treatment","81331904","Other Social Advocacy Organizations","20 to 49","Single Loc","42"
"2012","Northern Liberties Auto Repair","1555 N 5th St","19122","Verified","754903","Automobile Lubrication Service","81119101","Automotive Oil Change And Lubrication Shops","1 to 4","Single Loc","18"
"2012","Northern Liberty Press LLC","1223 N Mascher St","19122","Verified","275202","Printers (Mfrs)","32311109","Commercial Printing (Except Screen And Books)","1 to 4","Single Loc","23"
"2012","Northern Light Group LLC","111 W Norris St","19122","Verified","229701","Nonwoven Fabrics (Mfrs)","31323002","Nonwoven Fabric Mills","1 to 4","Single Loc","20"
"2012","Office-Housing & Residential","1910 Liacouras Walk","19122","Verified","653120","Real Estate Buyers & Brokers","53131103","Residential Property Managers","20 to 49","Single Loc","17"
"2012","Oic Of America Inc","1415 N Broad St # 1","19122","Verified","839998","Non-Profit Organizations","81331908","Other Social Advocacy Organizations","20 to 49","Single Loc","39"
"2012","Old City Movers","1324 N 4th St","19122","Verified","421401","Movers","48411009","General Freight Trucking, Local","5 to 9","Single Loc","17"
"2012","Olde Kensington Pavilion","1250 N 3rd St","19122","Verified","651303","Apartments","53111002","Lessors Of Residential Buildings And Dwellings","5 to 9","Single Loc","39"
"2012","Onion Flats LLC","111 W Norris St","19122","Verified","655202","Real Estate Developers","23721005","Land Subdivision","1 to 4","Single Loc","17"
"2012","Opportunities Indstrlztn Ctr","1231 N Broad St # 4","19122","Verified","829964","Hospitality Training","61169915","All Other Miscellaneous Schools And Instruction","1 to 4","Single Loc","18"
"2012","Opportunities Services Corp","1415 N Broad St","19122","Verified","836105","Residential Care Homes","62331206","Assisted Living Facilities For The Elderly","5 to 9","Single Loc","24"
"2012","Orient Express","1835 N 12th St # 7","19122","Verified","581208","Restaurants","72251117","Full-Service Restaurants","1 to 4","Single Loc","30"
"2012","Oxford Auto Ctr LLC","1533 N 2nd St # 41","19122","Verified","754903","Automobile Lubrication Service","81119101","Automotive Oil Change And Lubrication Shops","1 to 4","Single Loc","22"
"2012","P V Real Estate Development","1309 N Lawrence St","19122","Verified","655202","Real Estate Developers","23721005","Land Subdivision","1 to 4","Single Loc","15"
"2012","Pallets Plus Inc","408 Cecil B Moore Ave","19122","Verified","503105","Pallets & Skids (Whls)","42331032","Lumber, Plywood, Millwork, And Wood Panel Merchant","10 to 19","Single Loc","42"
