Field Name,Field Description
Company Name,Name of Company or Professional Name
Executive First Name,First Name of Contact
Executive Last Name,Last Name of Contact
Address,Location address of the company
City,Location city address of the company
State,Location state address of the company
ZIP Code,Location zip code address of the company
Record Type,"Type of record - Verified, Unverified, Closed or Out of Business"
Professional Title,Professional title of contact on executive detail - if available
Executive Title,Title of contact on Executive Detail
Executive Gender,Gender of contact on Executive Detail
Executive Biography,Biography of contact on Executive Detail
Executive Ethnicity,Ethnicity of contact on Executive Detail
House Number,Location address house number of the company
Street Pre-directional,Location address street pre-directional of the company
Street Name,Location address street name of the company
Street post-directional,Location address street post-directional of the company
Street Suffix,Location address street suffix of the company
ZIP Four,Location address zip four of the company
Carrier Route,Location address carrier route of the company
Delivery Point Barcode,Location address delivery point barcode of the company
County,County name based upon location address zip plus four postal
Metro Area,Name of the metropolitan statistical area where the company is located
Neighborhood,Name of the neighborhood where the company is located
Phone Number Combined,"Complete 10 digit phone number including -  the area code, prefix, and exchange"
Phone Number Area Code,Area code of primary phone number
Phone Number,Primary phone number of company
Fax Number Combined,"Complete 10 digit fax number including -  the area code, prefix, and exchange"
Fax Area Code,Area code of fax number
Fax Number,Fax number of company
Census Block Group,2010 Census Block Group of the company location
Census Tract,2010 Census Tract of the company location
Toll Free Number Combined,"Complete 10 digit phone number including -  the area code, prefix, and exchange"
Toll Free Area Code,Area code to Toll Free number
Toll Free Phone Number,Toll Free Number of company
Website,"The web address for the company, no prefix is attached to this field"
Company Description,A complete description of the company in words
Primary SIC Code,Primary line of business code the company engages in
Primary SIC Description,Primary line of business description the company engages in
Primary SIC Ad Size,The ad size for this company's line of business in the Yellow Page book
Primary SIC Year Appeared,The year this SIC Code first appeared in the Yellow Page book
SIC Code,Code for an additional line of business the company engages in - up to 10 lines available for output
SIC Code Description,Description for an additional line of business the company engages in - up to 10 descriptions available for output
SIC Code Ad Size,Indicates the size of the ad for this company's line of business in the Yellow Page book - up to 10 ads available for output
SIC Code Year Appeared,Indicates the year this SIC Code first appeared in the Yellow Page book - up to 10 years available for output
Primary NAICS,"The primary line of business code used by a government agency for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy."
Primary NAICS Description,"The primary line of business description used by a government agency for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy."
NAICS,"A line of business code used by a government agency for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy - up to 10 available for output"
NAICS Description,"A line of business description used by a government agency for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy - up to 10 available for output"
Franchise Description,The description of a franchise for this company - up to 5 available for output
Cuisine Code,The cuisine code for this company
Cuisine Code Description,The cuisine description for this company
Location Employee Size Range,A number range of employees at the location address.  Data is modeled.
Location Employee Size Actual,"Actual number of employees at the location address, if available."
Location Sales Volume Range,A number range of sales by the company at the location address.  Data is modeled.
Location Sales Volume Actual,"Actual number of sales by the company at the location address, if available."
Corporate Employee Size Range,"A number range of employees at a corporate address.  Only populated for corporation records, else blank.  Data is modeled."
Corporate Employee Size Actual,"Actual number of employees at a corporate address.  Only populated for corporation records, else blank.  Data is modeled."
Corporate Sales Volume Range,"Actual number range of sales for a corporate address.  Only populated for corporation records, else blank.  Data is modeled."
Corporate Sales Volume Actual,"Actual number of sales for a corporate address.  Only populated for corporation records, else blank.  Data is modeled."
Type of Business,"Indicates if the company is a public company, private company, or a branch."
Location Type,"Indicates if the company is a single location, head quarter, branch or subsidiary."
IUSA Number,A unique identifier for each company
