version_year,company_name,address,zip_code,record_type,primary_sic_code,primary_sic_description,primary_naics,primary_naics_description,location_employee_size_range,location_type,years_in_database,latitude,longitude
2017,1400 N 15 St LLC,"1415 W Jefferson St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15,39.9760904,-75.1596614
2017,1400 N 15 St LLC,"1621 W Oxford St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15,39.9780161,-75.1624385
2017,1525 N 17th St Investment,"1525 N 17th St, Philadelphia, PA 19121",19121,Verified,621109,Investment Bankers,52315001,Investment Banking And Securities Intermediation,5 to 9,Single Loc,12,39.9772744,-75.162915
2017,1600 Broad Assoc,"1600 N Broad St, Philadelphia, PA 19121",19121,Verified,811103,Attorneys,54111002,Offices Of Lawyers,5 to 9,Single Loc,16,39.9774961,-75.1584795
2017,1627 French St LLC,"2025 N 15th St, Philadelphia, PA 19121",19121,Verified,651303,Apartments,53111002,Lessors Of Residential Buildings And Dwellings,5 to 9,Single Loc,15,39.9840609,-75.1582347
2017,1902 Holdings LLC,"1902 N 18th St, Philadelphia, PA 19121",19121,Verified,671901,Holding Companies (Non-Bank),55111201,Offices Of Other Holding Companies,1 to 4,Single Loc,11,39.9826937,-75.1637564
2017,22nd Mini Market,"2201 W Oxford St, Philadelphia, PA 19121",19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,1 to 4,Single Loc,26,39.9791422,-75.1713241
2017,24 Hour Sunrise Childcare Svc,"1813 N 21st St, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,15,39.9820388,-75.1687294
2017,247 Gold,"2015 N 29th St, Philadelphia, PA 19121",19121,Verified,594411,Gold Silver & Platinum-Dealers,45831009,Jewelry Retailers,1 to 4,Single Loc,13,39.9869119,-75.1806077
2017,33rd Sunoco,"1701 N 33rd St, Philadelphia, PA 19121",19121,Verified,554101,Service Stations-Gasoline & Oil,45712003,Other Gasoline Stations,5 to 9,Branch,13,39.982752,-75.187913
2017,7-Eleven,"2034 N Broad St, Philadelphia, PA 19121",19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,5 to 9,Branch,12,39.9845036,-75.1570915
2017,7-Eleven,"1501 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,1 to 4,Branch,22,39.9790106,-75.1596076
2017,A & B Auto Repairs,"2042 N Van Pelt St, Philadelphia, PA 19121",19121,Verified,753801,Automobile Repairing & Service,81111104,General Automotive Repair,1 to 4,Single Loc,42,39.9858164,-75.169043
2017,A M Electric Inc,NA,19121,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,1 to 4,Single Loc,11,NA,NA
2017,A M Electric Inc,"3111 Morse St, Philadelphia, PA 19121",19121,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,5 to 9,Single Loc,15,39.9842648,-75.1850748
2017,A Mother's Touch Daycare,"1923 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,10 to 19,Single Loc,10,39.9800601,-75.1668168
2017,AAA Roadside Assistance,"1754 N 26th St, Philadelphia, PA 19121",19121,Verified,754904,Roadside Assistance,48841001,Motor Vehicle Towing,1 to 4,Single Loc,12,39.982422,-75.1771752
2017,Academic Center-Early Success,"1801 N 26th St, Philadelphia, PA 19121",19121,Verified,835101,Child Care Service,62441003,Child Care Services,1 to 4,Single Loc,19,39.9827925,-75.1767523
2017,Ace Cash Express,"2129 W Diamond St, Philadelphia, PA 19121",19121,Verified,614113,Payday Loans,52229111,Consumer Lending,1 to 4,Branch,38,39.9864193,-75.169017
2017,Ace Check Exchange Inc,"2235 Cecil B Moore Ave, Philadelphia, PA 19121",19121,Verified,609903,Check Cashing Service,52232003,"Financial Transactions Processing, Reserve, And Cl",1 to 4,Single Loc,42,39.9806738,-75.1722362
2017,Ace Discount,"2135 W Diamond St, Philadelphia, PA 19121",19121,Verified,516916,Chemicals (Whls),42469020,Other Chemical And Allied Products Merchant Wholes,1 to 4,Single Loc,33,39.9864234,-75.1690496
2017,Acelero Camden Phila Inc,"1801 N 23rd St, Philadelphia, PA 19121",19121,Verified,835107,Head Start,62441008,Child Care Services,100 to 249,Single Loc,13,39.982209,-75.17203
2017,Acts Recovery House,"1428 N 28th St, Philadelphia, PA 19121",19121,Verified,839901,Drug Abuse & Addiction Info & Treatment,81331904,Other Social Advocacy Organizations,5 to 9,Single Loc,25,39.9779569,-75.1812776
2017,Adam Analysis & Logic LLC,"2111 W Master St, Philadelphia, PA 19121",19121,Verified,865101,Political Organizations,81394003,Political Organizations,1 to 4,Single Loc,16,NA,NA
2017,Adjidja African Hair Braiding,"1230 N Broad St, Philadelphia, PA 19121",19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,1 to 4,Single Loc,26,39.9725931,-75.1592996
2017,Advanced Transportation Co,"1445 N 32nd St, Philadelphia, PA 19121",19121,Verified,421401,Movers,48411009,"General Freight Trucking, Local",20 to 49,Branch,42,39.9788201,-75.1873681
2017,Afifa,"1422 W Susquehanna Ave, Philadelphia, PA 19121",19121,Verified,533101,Variety Stores,45521903,All Other General Merchandise Retailers,1 to 4,Single Loc,17,39.9862562,-75.1573217
2017,"Ahye, Nicholas MD","6 Brewerytown Ct, Philadelphia, PA 19121",19121,Verified,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,1 to 4,Single Loc,11,39.9766313,-75.1871399
2017,All Garage Repair Svc,"2815 Ridge Ave, Philadelphia, PA 19121",19121,Verified,175107,Garage Doors-Repairing,23835007,Finish Carpentry Contractors,5 to 9,Single Loc,11,39.9864694,-75.1793202
2017,All Season Deli,"1216 N Broad St, Philadelphia, PA 19121",19121,Verified,581209,NA,NA,NA,1 to 4,Single Loc,20,39.9722445,-75.1596319
