Company Name,Address,ZIP Code,Legal Name,Record Type,Neighborhood,Census Block Group,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Range,Location Type,Years In Database,Square Footage,Latitude,Longitude
100 Black Men Of Philadelphia,2300 W Master St # 1,19121,NA,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.976239,-75.174217
1220 Lindley Avenue Assoc LLC,2101 N College Ave,19121,1220 LINDLEY AVENUE ASSOC LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975227,-75.171211
1496 Bushwick LLC,2101 N College Ave,19121,1496 BUSHWICK LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975227,-75.171211
1518 Loudon LLC,2026 Ridge Ave,19121,1518 LOUDON LLC,Unverified,Sharswood,2,NA,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,12,"2,500 - 4,999",039.976045,-75.16908
1530 Ridge LLC,2026 Ridge Ave # 2,19121,1530 RIDGE LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976045,-75.16908
16th Associates LLC,2101 N College Ave,19121,16TH ASSOCIATES LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975227,-75.171211
1985 LLC,2026 Ridge Ave # 4,19121,1985 LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976045,-75.16908
2048 St Inc,2048 Ridge Ave,19121,2048 ST INC,Unverified,Sharswood,2,NA,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,5 to 9,Single Loc,4,NA,039.976574,-75.169336
2111 Seybert LLC,2111 W Seybert St,19121,2111 SEYBERT LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.975645,-75.170902
2245 W Thompson Street Condo,2245 W Thompson St,19121,2245 W THOMPSON STREET CONDOMINIUM ASSN,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975214,-75.173443
2323 Jefferson St,2323 W Jefferson St,19121,NA,Unverified,Sharswood,1,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,3,NA,039.978147,-75.173577
2434 W Thompson Street,2434 W Thompson St,19121,2434 W THOMPSON STREET HOMEOWNERS' ASSN,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,2,NA,039.975341,-75.176656
2448 Master Inc,2448 W Master St,19121,2448 MASTER INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976679,-75.176478
25 Bar Inc,2448 W Master St,19121,25 BAR INC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976679,-75.176478
257 Sharpnack LLC,2026 Ridge Ave,19121,257 SHARPNACK LLC,Unverified,Sharswood,2,NA,653108,Real Estate Management,53121005,Offices Of Real Estate Agents And Brokers,1 to 4,Single Loc,12,"1,500 - 2,499",039.976045,-75.16908
2645 Jefferson LLC,2026 Ridge Ave,19121,2645 JEFFERSON LLC,Unverified,Sharswood,2,NA,999977,Nonclassified Establishments,99999004,Unclassified Establishments,NA,Single Loc,4,NA,039.976045,-75.16908
