"Company Name","Address","ZIP Code","Legal Name","Record Type","Neighborhood","Census Block Group","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Range","Location Type","Years In Database","Square Footage","Latitude","Longitude"
"Miller Rothlein","2101 S College Ave","19121","","Unverified","Sharswood","3","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","12","1 - 1,499","039.972736","-075.173275"
"Milley Meals LLC","2405 W Jefferson St","19121","MILLEY MEALS LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.978181","-075.174898"
"Miracle Revival Deliverance","2072 Ridge Ave","19121","","Unverified","Sharswood","2","","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","4","","039.977394","-075.169677"
"Miro Dance Theatre","2101 S College Ave","19121","","Unverified","Sharswood","3","","791101","Dancing Instruction","61161011","Fine Arts Schools","1 to 4","Single Loc","5","","039.972736","-075.173275"
"Modern Konvention LLC","2111 W Jefferson St","19121","MODERN KONVENTION LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977582","-075.170293"
"Molly's World LLC","2105 W Jefferson St","19121","MOLLY'S WORLD LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977512","-075.170163"
"Moore Treats 4 U LLC","2300 W Master St","19121","MOORE TREATS 4 U LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.976239","-075.174217"
"Motef Co","2216 W Oxford St","19121","MOTEF CO","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.978967","-075.171710"
"MPL Corp","2101 S College Ave","19121","MPL CORP","Unverified","Sharswood","3","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.972736","-075.173275"
"Mt Calvary Apostolic Chr-God","2450 W Jefferson St","19121","","Unverified","Sharswood","1","","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","4","","039.978013","-075.176211"
"Mt Tabor AME Church","2222 W Master St","19121","","Unverified","Sharswood","2","","866107","Churches","81311008","Religious Organizations","1 to 4","Single Loc","42","1,500 - 2,499","039.976127","-075.172577"
"Muchiez LLC","2413 Sharswood St","19121","MUCHIEZ LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.977436","-075.175314"
"Muse By Miraye LLC","2341 W Thompson St","19121","MUSE BY MIRAYE LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.975403","-075.174910"
"My Lawn Irrigation Lighting","2221 W Master St # A2","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.976435","-075.172783"
"My Sister's Journey LLC","2343 N College Ave # 1","19121","MY SISTER'S JOURNEY LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.974725","-075.175040"
"My Turn 2 Learn Daycare Ctr","2101 S College Ave","19121","","Unverified","Sharswood","3","","835101","Child Care Service","62441003","Child Care Services","1 to 4","Single Loc","14","1,500 - 2,499","039.972736","-075.173275"
"Myoswego","1501 N 24th St","19121","","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.978044","-075.174278"
"N & F General Contractor Inc","2026 Ridge Ave","19121","N & F GENERAL CONTRACTOR INC","Unverified","Sharswood","2","","152103","General Contractors","23611505","New Single-Family Housing Construction (Except For","1 to 4","Single Loc","13","1,500 - 2,499","039.976045","-075.169080"
"Nanbrowri Music Co","2035 N College Ave","19121","","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","4","","039.975262","-075.169750"
"Nash Dog Walking","2427 W Master St","19121","","Unverified","Sharswood","1","","729938","Pet Exercising Service","81299047","All Other Personal Services","1 to 4","Single Loc","7","1 - 1,499","039.976842","-075.176016"
"National Steel Corp","2337 N College Ave","19121","NATIONAL STEEL CORP","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.974740","-075.174867"
"Nationwide Auditors LLC","2430 W Jefferson St","19121","NATIONWIDE AUDITORS LLC","Unverified","Sharswood","1","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","3","","039.977942","-075.175673"
"Neane's Sweet Treats LLC","2300 W Master St # 3-315","19121","NEANE'S SWEET TREATS LLC","Unverified","Sharswood","2","","999977","Nonclassified Establishments","99999004","Unclassified Establishments","","Single Loc","2","","039.976239","-075.174217"
