Version Year,Company Name,Address,City,State,ZIP Code,Record Type,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Years In Database
2012,1216 Sarah's Inc,1216 N 29th St,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,16
2012,1260 Housing Development Corp,1704 N 16th St,Philadelphia,PA,19121,Verified,154213,Building Contractors,23622005,Commercial And Institutional Building Construction,15
2012,1600 Broad Assoc,1600 N Broad St,Philadelphia,PA,19121,Verified,811103,Attorneys,54111002,Offices Of Lawyers,19
2012,1719 Fontain LLC,1719 Fontain St,Philadelphia,PA,19121,Verified,506324,Burglar Alarm Systems (Whls),42361007,"Electrical Apparatus And Equipment, Wiring Supplie",17
2012,1838 Associates,1838 N 18th St,Philadelphia,PA,19121,Verified,653113,Real Estate-Rental Service,53121006,Offices Of Real Estate Agents And Brokers,15
2012,1934 Gratz LLC,1934 N Gratz St,Philadelphia,PA,19121,Verified,506324,Burglar Alarm Systems (Whls),42361007,"Electrical Apparatus And Equipment, Wiring Supplie",17
2012,20 St Grocery Store,1946 W Diamond St,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,18
2012,2038 18th St LLC,2038 N 18th St,Philadelphia,PA,19121,Verified,599999,Miscellaneous Retail Stores NEC,45521993,All Other General Merchandise Retailers,15
2012,22nd Mini Market,2201 W Oxford St,Philadelphia,PA,19121,Verified,541105,Grocers-Retail,44511003,Supermarkets And Other Grocery Retailers (Except C,26
2012,2700 Diamond Development Co,2729 W Diamond St # 9,Philadelphia,PA,19121,Verified,839998,Non-Profit Organizations,81331908,Other Social Advocacy Organizations,20
2012,29 Oxford Restaurant,2843 W Oxford St,Philadelphia,PA,19121,Verified,581208,Restaurants,72251117,Full-Service Restaurants,27
2012,7-Eleven,1501 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,541103,Convenience Stores,44513101,Convenience Retailers,22
2012,A & B Auto Repairs,2042 N Van Pelt St,Philadelphia,PA,19121,Verified,753801,Automobile Repairing & Service,81111104,General Automotive Repair,42
2012,A & R Travel,1837 N Newkirk St,Philadelphia,PA,19121,Verified,413101,Bus Lines,48521001,Interurban And Rural Bus Transportation,19
2012,A & S One Inc,2239 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,481207,Cellular Telephones (Services),51711214,Wireless Telecommunications Carriers (Except Satel,15
2012,A M Electric Inc,3111 Morse St,Philadelphia,PA,19121,Verified,173101,Electric Contractors,23821007,Electrical Contractors And Other Wiring Installati,15
2012,Abeokuta Club USA Canada Inc,2219 Ridge Ave,Philadelphia,PA,19121,Verified,864108,Clubs,81341004,Civic And Social Organizations,16
2012,Academic Center-Early Success,1801 N 26th St,Philadelphia,PA,19121,Verified,835101,Child Care Service,62441003,Child Care Services,19
2012,Ace Cash Express,2129 W Diamond St,Philadelphia,PA,19121,Verified,614113,Payday Loans,52229111,Consumer Lending,38
2012,Ace Check Exchange Inc,2235 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,609903,Check Cashing Service,52232003,"Financial Transactions Processing, Reserve, And Cl",42
2012,Ace Discount,2135 W Diamond St,Philadelphia,PA,19121,Verified,508702,Beauty Salons-Equipment & Supplies (Whls),42385091,Service Establishment Equipment And Supplies Merch,33
2012,Acts Christian Transitional,1429 N Newkirk St,Philadelphia,PA,19121,Verified,832218,Social Service & Welfare Organizations,62419012,Other Individual And Family Services,18
2012,Acts Of The Apostle Church,1400 N Newkirk St,Philadelphia,PA,19121,Verified,866107,Churches,81311008,Religious Organizations,42
2012,Acts Recovery House,1428 N 28th St,Philadelphia,PA,19121,Verified,839901,Drug Abuse & Addiction Info & Treatment,81331904,Other Social Advocacy Organizations,25
2012,Ad Vantage Media Group,1220 N Broad St,Philadelphia,PA,19121,Verified,733603,Graphic Designers,54143006,Graphic Design Services,16
2012,Adam Analysis & Logic LLC,2111 W Master St,Philadelphia,PA,19121,Verified,865101,Political Organizations,81394003,Political Organizations,16
2012,Adelaide's Variety Shop,1704 Cecil B Moore Ave,Philadelphia,PA,19121,Verified,593205,Clothing-Used,45951013,Used Merchandise Retailers,26
2012,Adjidja African Hair Braiding,1230 N Broad St,Philadelphia,PA,19121,Verified,723106,Beauty Salons,81211202,Beauty Salons,26
2012,Advanced Real Estate Concepts,1719 W Montgomery Ave,Philadelphia,PA,19121,Verified,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,14
